,incident_name,incident_date_created,incident_administrative_unit,incident_county,incident_location,incident_acres_burned,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created
1083,Pico Fire,2018-07-23 12:55:00,Los Angeles County Fire Department ,Los Angeles,"off West Pico Canyon Rd and Potrero Canyon Rd, Stevenson Ranch area",128,Los Angeles County Fire Department ,-118.60441000000002,34.380390000000006,2019-01-04 09:37:00,2019-01-04,2018-07-23
1084,Martinez Fire,2018-07-23 14:55:00,CAL FIRE Riverside County Fire,Riverside,"Off Martinez Road & Avenue 66, Thermal",40,CAL FIRE Riverside County Fire,-116.154398,33.56921,2019-01-04 09:36:00,2019-01-04,2018-07-23
1085,Ridge Fire,2018-09-02 14:02:00,CAL FIRE Sonoma-Lake-Napa Unit,Lake,"Highland Springs Rd & Old Toll Rd, Kelseyville",36,CAL FIRE Sonoma-Lake-Napa Unit,-122.97222,38.981389,2019-01-04 09:11:00,2019-01-04,2018-09-02
1086,Crestline Fire,2018-07-24 15:24:00,CAL FIRE Shasta-Trinity Unit,Shasta,"Crest Line Dr and Hunt Rd, Montgomery Creek, west of Burney",51,"CAL FIRE Shasta-Trinity Unit, Shasta County Fire Department, California Highway Patrol, Shasta County Sherriff’s Office, Cal OES",-121.90215,40.824,2019-01-04 09:36:00,2019-01-04,2018-07-24
1087,Roxie Fire (Formerly 1-1 Fire),2018-07-24 16:02:00,CAL FIRE Lassen-Modoc Unit / Lassen National Forest,Lassen,"Roxie Peconom Campground, west of Willard Cr, 10 mi west of Susanville",167,"CAL FIRE Lassen-Modoc Unit / Lassen National Forest, US Forest Service, BLM, Susan River FD, Susanville City FD, Janesville FD, Lake Forest FD, Sierra Army Depot, CCC, Milford FD, Lassen County Sheriff.",-120.82497,40.34822,2019-01-04 09:35:00,2019-01-04,2018-07-24
1088,Church Fire,2018-07-25 16:14:00,CAL FIRE Santa Clara Unit,Santa Clara,"Monterey Road and Church Ave, San Martin",20,CAL FIRE Santa Clara Unit,-121.600023,37.07793,2019-01-04 09:33:00,2019-01-04,2018-07-25
1089,Marsh Fire,2018-07-25 14:41:00,Unified Command: CAL FIRE Santa Clara Unit & East Contra Costa Fire,Contra Costa,"Marsh Creek Rd and  Bragdon way, east of Mount Diablo ",247,"Unified Command: CAL FIRE Santa Clara Unit & East Contra Costa Fire, East Contra Costa Fire Protection District, Contra Costa County Fire Protection District, East Bay Regional Parks, Moraga Orinda Fire Protection District, San Ramon Valley Fire Protection District, Contra Costa County Sheriffs Office, California Highway Patrol, Contra Costa County Animal Services, Alameda County Fire Department and Marin County Fire Department.",-121.85847,37.89612,2019-01-04 09:34:00,2019-01-04,2018-07-25
1090,Hidden Fire,2018-07-25 14:11:00,CAL FIRE San Benito-Monterey Unit,San Benito,"Hidden Valley Rd & Cienega Rd, south of Hollister",39,CAL FIRE San Benito-Monterey Unit,-121.40603999999999,36.796,2019-01-04 09:35:00,2019-01-04,2018-07-25
1091,Patterson Fire,2018-07-25 16:05:00,CAL FIRE Santa Clara Unit,Alameda,"Patterson Pass Road and Midway Rd, Altamont ",34,CAL FIRE Santa Clara Unit,-121.55604,37.711729999999996,2019-01-04 09:34:00,2019-01-04,2018-07-25
1092,Western Fire,2018-08-01 15:53:00,CAL FIRE Mendocino Unit,Mendocino,"Off Highway 101, south of Hopland",106,CAL FIRE Mendocino Unit,-123.0496,38.8802,2019-01-04 09:26:00,2019-01-04,2018-08-01
1093,Pasqual Fire,2018-07-27 13:28:00,Unified Command: CAL FIRE San Diego County Fire Authority and San Diego County Fire ,San Diego,"San Pasqual Valley Rd, west of Ramona",365,Unified Command: CAL FIRE San Diego County Fire Authority and San Diego County Fire ,-116.91845,33.078920000000004,2019-01-04 09:32:00,2019-01-04,2018-07-27
1094,Ribbon Fire,2018-07-26 10:12:00,Bureau of Indian Affairs - CAL FIRE / Riverside County Fire,Riverside,Highway 74 and Ribbonwood Dr. near Pinyon,205,Bureau of Indian Affairs - CAL FIRE / Riverside County Fire,-116.50005800000001,33.571763,2019-01-04 09:33:00,2019-01-04,2018-07-26
1095,Parrots Fire,2018-08-05 04:19:00,CAL FIRE Tuolumne-Calaveras Unit,Calaveras,"Parrots Ferry Rd x Camp 9 Rd, South of the community of Vallecito",136,CAL FIRE Tuolumne-Calaveras Unit,-120.46078,38.08424,2019-01-04 09:24:00,2019-01-04,2018-08-05
1096,Wagner Fire,2018-08-04 13:57:00,CAL FIRE Madera-Mariposa-Merced ,Mariposa,"Texas Hill Rd and Bondurant Mine Rd, east of Coulterville",22,CAL FIRE Madera-Mariposa-Merced ,-120.0545,37.69965,2019-01-04 09:24:00,2019-01-04,2018-08-04
1097,Creek Fire,2018-08-04 17:32:00,CAL FIRE Santa Clara Unit,Alameda,"Welch Creek Rd and Geary Rd., southeast of Sunol",30,CAL FIRE Santa Clara Unit,-121.79733,37.533026,2019-01-04 09:25:00,2019-01-04,2018-08-04
1098,Tarina Fire,2018-08-03 14:48:00,Kern County Fire Department,Kern,"Breckenridge Rd & Comanche Dr, east of Bakersfield",2950,Kern County Fire Department,-118.83556000000002,35.37444,2019-01-04 09:26:00,2019-01-04,2018-08-03
1099,Ranch Fire (Mendocino Complex),2018-07-27 12:05:00,USFS Mendocino National Forest ,"Colusa, Glenn, Lake, Mendocino","off Highway 20 near Potter Valley, northeast of Ukiah ",410203,"USFS Mendocino National Forest , Potter Valley Fire, Redwood Valley Fire, Ukiah Fire, California Office of Emergency Services, California Department of Corrections and Rehabilitation, Lake County Sheriff’s Office, Mendocino County Sheriff’s Office, Colusa County Sheriff’s Office, Glenn County Sheriff’s Office, California Highway Patrol, Pilsbury FPD, Australia and New Zealand Fire, Bureau of Land Management, Bureau of Indian Affairs, Department of Defense, US Fish and Wildlife, National Park Service, Hopland Fire, Lakeport Fire, PG&E, AT&T, California Conservation Corps, North Shore Fire, American Red Cross, Kelseyville Fire, California State Parks, Cal Water, Lake County Farm Bureau, Nevada Division of Forestry, Nevada Department of Corrections and additional agencies from throughout California and other States",-123.10336699999999,39.243283,2019-01-04 09:33:00,2019-01-04,2018-07-27
1100,Balch Fire,2018-07-27 12:14:00,CAL FIRE Tulare Unit,Tulare,"off Balch Park Road and Yokohl Drive, northeast of Porterville",100,CAL FIRE Tulare Unit,-118.82988999999999,36.21634,2019-01-04 09:33:00,2019-01-04,2018-07-27
1101,River Fire (Mendocino Complex),2018-07-27 13:01:00,Unified command: CAL FIRE Mendocino Unit and USFS Mendocino National Forest ,"Colusa, Lake, Mendocino","Old River Rd, near Mile Marker Post 7.9, Hopland ",48920,"Unified command: CAL FIRE Mendocino Unit and USFS Mendocino National Forest , Potter Valley Fire, Redwood Valley Fire, Ukiah Fire, California Office of Emergency Services, California Department of Corrections and Rehabilitation, California SR Patrol, Lake County Sheriff’s Office, Mendocino County Sheriff’s Office, Colusa County Sheriff’s Office, Glenn County Sheriff’s Office, California Highway Patrol, Australia and New Zealand Fire, Bureau of Land Management, Hopland Fire, Lakeport Fire, PG&E, AT&T, California Conservation Corps, and additional agencies from throughout California and other States.",-123.11971000000001,39.04786,2019-01-04 09:18:00,2019-01-04,2018-07-27
1102,Breckenridge Fire,2018-07-27 16:12:00,Kern County Fire Department,Kern,"off Breckenridge Road and Tarina Ct, east of Bakersfield",993,Kern County Fire Department,-118.81793400000001,35.387408,2019-01-04 09:32:00,2019-01-04,2018-07-27
1103,Whaleback Fire,2018-07-27 13:32:00,Unified Command: CAL FIRE and USFS Lassen National Forest,Lassen,"off Whaleback Mountain and Antelope Valley Road, West of Spaulding",18703,Unified Command: CAL FIRE and USFS Lassen National Forest,-120.86809099999999,40.633536,2019-01-04 09:32:00,2019-01-04,2018-07-27
1104,Natchez Fire,2018-07-15 18:30:00,USFS Rogue River-Siskiyou National Forest,,"southeast of Cave Junction, OR",38134,USFS Rogue River-Siskiyou National Forest,-123.54642,41.95113,2019-01-04 09:42:00,2019-01-04,2018-07-15
1105,Donnell Fire,2018-08-01 17:48:00,Stanislaus National Forest,Tuolumne,"Near Hwy 108, Donnell Lake area in the Carson Iceburg Wilderness",36450,Stanislaus National Forest,-119.929,38.349000000000004,2019-01-04 09:26:00,2019-01-04,2018-08-01
1106,Owens Fire,2018-07-31 15:07:00,Inyo National Forest,Inyo,"Owens River Rd & Indiana Summit Rd, north of Mammoth Lakes",338,Inyo National Forest,-118.97044299999999,37.735461,2019-01-04 09:29:00,2019-01-04,2018-07-31
1107,Sobrante Fire,2018-07-28 15:38:00,CAL FIRE Riverside Coounty,Riverside,"El Sobrante Road at McAllister Street, Lake Matthews",30,CAL FIRE Riverside Coounty,-117.43521000000001,33.85852,2019-01-04 09:30:00,2019-01-04,2018-07-28
1108,Rock Fire,2018-07-28 15:14:00,CAL FIRE San Diego Fire Authority,San Diego,Rock Mountain Dr. and Sandia Creek Dr. in the community of Fallbrook. ,207,"CAL FIRE San Diego Fire Authority, MULTIPLE AGENCIES FROM NORTH ZONE, SDSO, CLEVELAND NATIONAL FOREST",-117.24043999999999,33.41476,2019-01-04 09:31:00,2019-01-04,2018-07-28
1109,Butte Fire,2018-07-31 17:34:00,Sutter County Fire Protection District,Sutter,"Pass Road and W Butte Road, 9 miles northwest of Yuba City ",1200,Sutter County Fire Protection District,-121.79288500000001,39.186144,2019-01-04 09:28:00,2019-01-04,2018-07-31
1110,Steele Fire,2018-07-28 16:30:00,CAL FIRE Sonoma-Lake-Napa Unit,Napa,"off Arroyo Grande Drive and Steele Canyon Road, Capell",135,"CAL FIRE Sonoma-Lake-Napa Unit, Vacaville District, Vacaville City, Dixon Fire, Fairfield Fire, Winters Fire, Suisun City Fire, Napa County Fire, CDCR.",-122.18353,38.51943,2019-01-04 09:30:00,2019-01-04,2018-07-28
1111,Eel Fire,2018-07-31 15:28:00,USFS Mendocino National Forest,Mendocino,"off Indian Dick Road and Mendocino Pass Road, east of Covelo",972,USFS Mendocino National Forest,-123.08488999999999,39.82877,2019-01-04 09:29:00,2019-01-04,2018-07-31
